Image,Class,Confidence,BBox (xyxy),Status
dataset\train\images\heroin_4_jpg.rf.87bc3a7c3c20829fed746c1c89df8577.jpg,Heroin,0.85,"[0.47675782442092896, 117.74531555175781, 273.6861267089844, 509.123779296875]",
dataset\train\images\heroin_4_jpg.rf.87bc3a7c3c20829fed746c1c89df8577.jpg,Heroin,0.83,"[4.6153564453125, 0.0, 342.4363708496094, 314.0356140136719]",
dataset\train\images\heroin_4_jpg.rf.87bc3a7c3c20829fed746c1c89df8577.jpg,Heroin,0.63,"[353.59747314453125, 28.762744903564453, 512.0, 460.4404296875]",
dataset\train\images\heroin_4_jpg.rf.88c862f8b7360de43cb218507be3cb83.jpg,Heroin,0.78,"[218.2217254638672, 197.72364807128906, 511.354736328125, 512.0]",
dataset\train\images\heroin_4_jpg.rf.88c862f8b7360de43cb218507be3cb83.jpg,Heroin,0.73,"[22.134471893310547, 171.5365753173828, 378.2491149902344, 506.94281005859375]",
dataset\train\images\heroin_4_jpg.rf.88c862f8b7360de43cb218507be3cb83.jpg,Heroin,0.68,"[80.660888671875, 11.975268363952637, 474.95721435546875, 237.6659698486328]",
dataset\train\images\heroin_4_jpg.rf.d8e7c03e851aa7060b42255b9b8ecb44.jpg,Heroin,0.75,"[148.1658172607422, 0.0, 485.2021484375, 313.8756103515625]",
dataset\train\images\heroin_4_jpg.rf.d8e7c03e851aa7060b42255b9b8ecb44.jpg,Heroin,0.75,"[180.63710021972656, 53.781593322753906, 511.49285888671875, 491.79998779296875]",
dataset\train\images\heroin_4_jpg.rf.d8e7c03e851aa7060b42255b9b8ecb44.jpg,Heroin,0.72,"[1.7490112781524658, 69.5941390991211, 197.31582641601562, 501.0630798339844]",
dataset\train\images\heroin_4_jpg.rf.f6abc67fd05a90501efe9e973f0bb90a.jpg,Heroin,0.83,"[145.2412567138672, 0.0, 511.8841857910156, 282.1997985839844]",
dataset\train\images\heroin_4_jpg.rf.f6abc67fd05a90501efe9e973f0bb90a.jpg,Heroin,0.82,"[7.051025390625, 0.0, 317.16131591796875, 338.4441223144531]",
dataset\train\images\heroin_4_jpg.rf.f6abc67fd05a90501efe9e973f0bb90a.jpg,Heroin,0.80,"[4.546093940734863, 306.96026611328125, 506.0218811035156, 506.61114501953125]",
dataset\train\images\heroin_5_jpg.rf.214ee8a68e2311e312b8fde14d476c79.jpg,Heroin,0.50,"[373.13421630859375, 125.01142883300781, 511.27850341796875, 305.31121826171875]",
dataset\train\images\heroin_5_jpg.rf.214ee8a68e2311e312b8fde14d476c79.jpg,Heroin,0.44,"[389.88104248046875, 262.96807861328125, 511.5953063964844, 452.59039306640625]",
dataset\train\images\heroin_6_jpg.rf.1aaeec0d75602a19b0418fc335717dde.jpg,Heroin,0.86,"[258.31427001953125, 29.470691680908203, 446.1180725097656, 187.15802001953125]",
dataset\train\images\heroin_6_jpg.rf.1aaeec0d75602a19b0418fc335717dde.jpg,Heroin,0.85,"[84.59306335449219, 337.69342041015625, 286.1656188964844, 511.3165588378906]",
dataset\train\images\heroin_6_jpg.rf.1aaeec0d75602a19b0418fc335717dde.jpg,Heroin,0.66,"[7.688036918640137, 56.62841796875, 281.3365173339844, 355.91290283203125]",
dataset\train\images\heroin_6_jpg.rf.1aaeec0d75602a19b0418fc335717dde.jpg,Heroin,0.37,"[82.98670196533203, 0.0, 270.2554016113281, 86.31953430175781]",
dataset\train\images\heroin_6_jpg.rf.28b3750e76d90dc65b851740d390be3a.jpg,Heroin,0.77,"[133.26296997070312, 234.6450653076172, 375.7149658203125, 512.0]",
dataset\train\images\heroin_6_jpg.rf.28b3750e76d90dc65b851740d390be3a.jpg,Heroin,0.62,"[2.186108350753784, 189.87339782714844, 163.8058624267578, 408.1800231933594]",
dataset\train\images\heroin_6_jpg.rf.28b3750e76d90dc65b851740d390be3a.jpg,Heroin,0.54,"[282.5556640625, 113.51264953613281, 446.66064453125, 276.16302490234375]",
dataset\train\images\heroin_6_jpg.rf.28b3750e76d90dc65b851740d390be3a.jpg,Heroin,0.52,"[345.564208984375, 260.3055725097656, 486.168212890625, 465.78411865234375]",
dataset\train\images\heroin_6_jpg.rf.8abfb5d68a1c88ef0f470a8a870b2c9b.jpg,Heroin,0.79,"[105.3798828125, 6.558545112609863, 338.8373107910156, 177.21026611328125]",
dataset\train\images\heroin_6_jpg.rf.8abfb5d68a1c88ef0f470a8a870b2c9b.jpg,Heroin,0.76,"[12.221142768859863, 130.80677795410156, 275.53887939453125, 364.135986328125]",
dataset\train\images\heroin_6_jpg.rf.8abfb5d68a1c88ef0f470a8a870b2c9b.jpg,Heroin,0.48,"[251.4394989013672, 340.81817626953125, 425.8187561035156, 495.50213623046875]",
dataset\train\images\heroin_6_jpg.rf.8abfb5d68a1c88ef0f470a8a870b2c9b.jpg,Heroin,0.46,"[15.370898246765137, 125.56986999511719, 286.39111328125, 495.0140075683594]",
dataset\train\images\heroin_6_jpg.rf.90a8b8eb2f8eb761b9f52438fbb0fe7e.jpg,Heroin,0.88,"[76.9833984375, 287.76312255859375, 252.5321502685547, 444.9010314941406]",
dataset\train\images\heroin_6_jpg.rf.90a8b8eb2f8eb761b9f52438fbb0fe7e.jpg,Heroin,0.86,"[293.77984619140625, 32.418601989746094, 492.6817932128906, 207.79248046875]",
dataset\train\images\heroin_6_jpg.rf.90a8b8eb2f8eb761b9f52438fbb0fe7e.jpg,Heroin,0.84,"[255.94888305664062, 204.50283813476562, 509.66656494140625, 490.33282470703125]",
dataset\train\images\heroin_6_jpg.rf.90a8b8eb2f8eb761b9f52438fbb0fe7e.jpg,Heroin,0.48,"[301.05889892578125, 47.91542434692383, 512.0, 242.7011260986328]",
dataset\train\images\heroin_6_jpg.rf.92f28e6d6ae0bd2f71a2e764092a48c6.jpg,Heroin,0.90,"[55.650978088378906, 58.33659744262695, 230.67306518554688, 210.4760284423828]",
dataset\train\images\heroin_6_jpg.rf.92f28e6d6ae0bd2f71a2e764092a48c6.jpg,Heroin,0.88,"[243.23184204101562, 80.3237533569336, 506.56036376953125, 338.27862548828125]",
dataset\train\images\heroin_6_jpg.rf.92f28e6d6ae0bd2f71a2e764092a48c6.jpg,Heroin,0.52,"[266.38043212890625, 343.2342834472656, 460.93499755859375, 507.67254638671875]",
dataset\train\images\heroin_6_jpg.rf.92f28e6d6ae0bd2f71a2e764092a48c6.jpg,Heroin,0.46,"[205.04452514648438, 6.975976467132568, 379.05731201171875, 120.6458740234375]",
dataset\train\images\heroin_6_jpg.rf.b1c7f73584d5d2a72ad12ad6487c786e.jpg,Heroin,0.82,"[0.0, 148.02899169921875, 260.95269775390625, 399.94708251953125]",
dataset\train\images\heroin_6_jpg.rf.b1c7f73584d5d2a72ad12ad6487c786e.jpg,Heroin,0.81,"[100.1529312133789, 8.491918563842773, 310.504638671875, 171.82730102539062]",
dataset\train\images\heroin_6_jpg.rf.b1c7f73584d5d2a72ad12ad6487c786e.jpg,Heroin,0.59,"[237.9015655517578, 310.54071044921875, 393.71343994140625, 452.74591064453125]",
dataset\train\images\heroin_6_jpg.rf.b9b1c2ff490407ec95a6d33fee6b1001.jpg,Heroin,0.70,"[191.25228881835938, 238.25503540039062, 424.56817626953125, 504.72857666015625]",
dataset\train\images\heroin_6_jpg.rf.b9b1c2ff490407ec95a6d33fee6b1001.jpg,Heroin,0.69,"[42.438865661621094, 217.5725555419922, 179.9998779296875, 392.12335205078125]",
dataset\train\images\heroin_6_jpg.rf.b9b1c2ff490407ec95a6d33fee6b1001.jpg,Heroin,0.59,"[308.48455810546875, 95.8599624633789, 455.40478515625, 241.402587890625]",
dataset\train\images\heroin_6_jpg.rf.f5c35671faa0bf3dcc12cbeb5afeae91.jpg,Heroin,0.84,"[93.30693054199219, 236.4912109375, 359.9563903808594, 502.948974609375]",
dataset\train\images\heroin_6_jpg.rf.f5c35671faa0bf3dcc12cbeb5afeae91.jpg,Heroin,0.69,"[358.1117248535156, 204.5412139892578, 511.5137634277344, 454.52587890625]",
dataset\train\images\heroin_6_jpg.rf.f5c35671faa0bf3dcc12cbeb5afeae91.jpg,Heroin,0.61,"[33.332862854003906, 95.93864440917969, 212.33193969726562, 273.61663818359375]",
dataset\train\images\heroin_6_jpg.rf.f5c35671faa0bf3dcc12cbeb5afeae91.jpg,Heroin,0.45,"[13.093236923217773, 292.2669982910156, 126.11444091796875, 467.74957275390625]",
dataset\train\images\heroin_6_jpg.rf.f623f2b17c8e8abf5ea4385c4a9145de.jpg,Heroin,0.82,"[225.6051788330078, 1.6455566883087158, 446.2254943847656, 164.95907592773438]",
dataset\train\images\heroin_6_jpg.rf.f623f2b17c8e8abf5ea4385c4a9145de.jpg,Heroin,0.82,"[70.10574340820312, 319.51788330078125, 248.28201293945312, 473.56689453125]",
dataset\train\images\heroin_6_jpg.rf.f623f2b17c8e8abf5ea4385c4a9145de.jpg,Heroin,0.74,"[248.4573211669922, 137.940185546875, 512.0, 438.07196044921875]",
dataset\train\images\heroin_6_jpg.rf.f987feb9e249caf7ece20fe24ca6c65d.jpg,Heroin,0.79,"[1.31011962890625, 216.86703491210938, 165.43035888671875, 442.0164489746094]",
dataset\train\images\heroin_6_jpg.rf.f987feb9e249caf7ece20fe24ca6c65d.jpg,Heroin,0.75,"[152.3314971923828, 205.32559204101562, 461.6845703125, 512.0]",
dataset\train\images\heroin_6_jpg.rf.f987feb9e249caf7ece20fe24ca6c65d.jpg,Heroin,0.67,"[293.01708984375, 11.040478706359863, 478.42022705078125, 209.248291015625]",
dataset\train\images\heroin_7_jpg.rf.5401d07f83991928ddacc181247e7218.jpg,,,,No objects detected
dataset\train\images\heroin_8_jpg.rf.4ceefae6a65068f160cc279c9175934b.jpg,,,,No objects detected
dataset\train\images\heroin_8_jpg.rf.4f7bf7829bc71cd66277ef1b2d5d9f6f.jpg,Ketamine,0.50,"[225.70986938476562, 91.38436889648438, 412.96417236328125, 292.6719665527344]",
dataset\train\images\heroin_8_jpg.rf.50977c756e9a26c4b2b4ba2a1b01e8bc.jpg,Ketamine,0.32,"[122.6953125, 122.6906967163086, 308.8902282714844, 309.8528137207031]",
dataset\train\images\heroin_8_jpg.rf.5c2194661555be554ee3c97e8b92efd2.jpg,,,,No objects detected
dataset\train\images\heroin_8_jpg.rf.6b3c933964c6230536d8d7b4e96c419b.jpg,,,,No objects detected
dataset\train\images\heroin_8_jpg.rf.8ad7acca3e7dc67879c9ed100909fa76.jpg,Ketamine,0.34,"[107.10466003417969, 11.031494140625, 231.3437957763672, 186.02658081054688]",
dataset\train\images\heroin_8_jpg.rf.8ad7acca3e7dc67879c9ed100909fa76.jpg,Ketamine,0.31,"[257.0325622558594, 19.9940185546875, 475.0999450683594, 162.4447479248047]",
dataset\train\images\heroin_8_jpg.rf.8ad7acca3e7dc67879c9ed100909fa76.jpg,Ketamine,0.25,"[149.63424682617188, 133.68048095703125, 324.815673828125, 316.47088623046875]",
dataset\train\images\heroin_8_jpg.rf.8fd5f2c57b278598c40ef2c5cbadda70.jpg,,,,No objects detected
dataset\train\images\heroin_8_jpg.rf.b2b1c4c8ca8412d6be313af0a8b261ab.jpg,Heroin,0.46,"[341.64996337890625, 216.107666015625, 498.7237854003906, 462.2496643066406]",
dataset\train\images\heroin_8_jpg.rf.b2b1c4c8ca8412d6be313af0a8b261ab.jpg,Heroin,0.42,"[151.5339813232422, 23.632617950439453, 494.44549560546875, 335.16485595703125]",
dataset\train\images\heroin_8_jpg.rf.b2b1c4c8ca8412d6be313af0a8b261ab.jpg,Heroin,0.26,"[11.5791015625, 24.637914657592773, 248.2417449951172, 285.2747802734375]",
dataset\train\images\heroin_8_jpg.rf.b2b1c4c8ca8412d6be313af0a8b261ab.jpg,Heroin,0.25,"[341.5942687988281, 211.199462890625, 499.07452392578125, 357.21484375]",
dataset\train\images\heroin_8_jpg.rf.d17ac8a4756c2240d601dfa21bfa1543.jpg,,,,No objects detected
dataset\train\images\heroin_8_jpg.rf.f2ed697d042eff1610c440121854c19c.jpg,Heroin,0.60,"[205.7658233642578, 45.993263244628906, 462.2294006347656, 334.70391845703125]",
dataset\train\images\heroin_8_jpg.rf.f2ed697d042eff1610c440121854c19c.jpg,Heroin,0.26,"[378.88153076171875, 192.28370666503906, 511.6512756347656, 415.9551696777344]",
dataset\train\images\heroin_9_jpg.rf.138ca4d1040d8c49279cf16ddb0d6d87.jpg,Heroin,0.80,"[6.582006931304932, 193.7749481201172, 305.5226745605469, 512.0]",
dataset\train\images\heroin_9_jpg.rf.138ca4d1040d8c49279cf16ddb0d6d87.jpg,Heroin,0.65,"[136.23446655273438, 86.9202651977539, 509.18719482421875, 505.66705322265625]",
dataset\train\images\heroin_9_jpg.rf.138ca4d1040d8c49279cf16ddb0d6d87.jpg,Heroin,0.63,"[18.110546112060547, 0.0, 359.0245056152344, 285.6630859375]",
dataset\train\images\heroin_9_jpg.rf.138ca4d1040d8c49279cf16ddb0d6d87.jpg,Heroin,0.41,"[14.808496475219727, 0.0, 219.88955688476562, 282.51171875]",
dataset\train\images\heroin_9_jpg.rf.138ca4d1040d8c49279cf16ddb0d6d87.jpg,Heroin,0.31,"[205.38314819335938, 5.641015529632568, 512.0, 398.97589111328125]",
dataset\train\images\heroin_9_jpg.rf.2b045350ea1e9d8a1ac08added2d2e00.jpg,Heroin,0.80,"[3.577197313308716, 0.0, 364.2601623535156, 325.43218994140625]",
dataset\train\images\heroin_9_jpg.rf.2b045350ea1e9d8a1ac08added2d2e00.jpg,Heroin,0.66,"[0.7148193120956421, 137.91648864746094, 258.17791748046875, 512.0]",
dataset\train\images\heroin_9_jpg.rf.2b045350ea1e9d8a1ac08added2d2e00.jpg,Heroin,0.44,"[222.73046875, 142.638671875, 512.0, 507.6961364746094]",
dataset\train\images\heroin_9_jpg.rf.2b045350ea1e9d8a1ac08added2d2e00.jpg,Ketamine,0.33,"[183.66885375976562, 188.5791473388672, 510.0391540527344, 510.8749084472656]",
dataset\train\images\heroin_9_jpg.rf.50aa6bb2cb3f692efc5987b937bf9078.jpg,Heroin,0.80,"[183.60935974121094, 1.112036108970642, 507.5884704589844, 284.2391662597656]",
dataset\train\images\heroin_9_jpg.rf.50aa6bb2cb3f692efc5987b937bf9078.jpg,Heroin,0.56,"[2.3690428733825684, 3.191821336746216, 327.24542236328125, 366.77239990234375]",
dataset\train\images\heroin_9_jpg.rf.50aa6bb2cb3f692efc5987b937bf9078.jpg,Heroin,0.36,"[67.02392578125, 176.93898010253906, 500.8486328125, 512.0]",
dataset\train\images\heroin_9_jpg.rf.73cda18cfabdc822624f1493e0ff90e7.jpg,Heroin,0.79,"[185.77377319335938, 18.772680282592773, 510.5777893066406, 346.05340576171875]",
dataset\train\images\heroin_9_jpg.rf.73cda18cfabdc822624f1493e0ff90e7.jpg,Heroin,0.75,"[213.53189086914062, 268.36444091796875, 499.998779296875, 512.0]",
dataset\train\images\heroin_9_jpg.rf.73cda18cfabdc822624f1493e0ff90e7.jpg,Heroin,0.69,"[1.3718993663787842, 99.5411148071289, 356.4877624511719, 508.2911071777344]",
dataset\train\images\heroin_9_jpg.rf.73cda18cfabdc822624f1493e0ff90e7.jpg,Heroin,0.57,"[0.6045166254043579, 2.2728028297424316, 270.1227111816406, 293.13677978515625]",
dataset\train\images\heroin_9_jpg.rf.7a08af3be60e2ed09dc455041445009f.jpg,Heroin,0.81,"[4.698217868804932, 199.5327606201172, 311.20062255859375, 500.33740234375]",
dataset\train\images\heroin_9_jpg.rf.7a08af3be60e2ed09dc455041445009f.jpg,Heroin,0.73,"[146.25845336914062, 93.5516586303711, 510.14794921875, 484.7857360839844]",
dataset\train\images\heroin_9_jpg.rf.7a08af3be60e2ed09dc455041445009f.jpg,Heroin,0.68,"[4.999291896820068, 0.0, 311.8559875488281, 288.22607421875]",
dataset\train\images\heroin_9_jpg.rf.7a08af3be60e2ed09dc455041445009f.jpg,Heroin,0.65,"[254.49365234375, 0.0, 510.642578125, 237.9203643798828]",
dataset\train\images\heroin_9_jpg.rf.7a08af3be60e2ed09dc455041445009f.jpg,Heroin,0.33,"[5.3160400390625, 0.0, 200.45285034179688, 284.74444580078125]",
dataset\train\images\heroin_9_jpg.rf.7c1b5401308604796538fa158f27276b.jpg,Heroin,0.74,"[227.8805694580078, 15.707544326782227, 509.20831298828125, 351.3153076171875]",
dataset\train\images\heroin_9_jpg.rf.7c1b5401308604796538fa158f27276b.jpg,Heroin,0.71,"[1.4143555164337158, 95.3768539428711, 353.9268493652344, 505.919921875]",
dataset\train\images\heroin_9_jpg.rf.7c1b5401308604796538fa158f27276b.jpg,Heroin,0.69,"[193.41796875, 190.650146484375, 499.2269592285156, 512.0]",
dataset\train\images\heroin_9_jpg.rf.7c1b5401308604796538fa158f27276b.jpg,Heroin,0.52,"[9.770092964172363, 0.0, 311.02532958984375, 264.71685791015625]",
dataset\train\images\heroin_9_jpg.rf.7c1b5401308604796538fa158f27276b.jpg,Heroin,0.30,"[1.308935523033142, 84.0269546508789, 209.7550811767578, 499.7647399902344]",
dataset\train\images\heroin_9_jpg.rf.8103b1fe716a5d6456cf4d7dd43ea001.jpg,Heroin,0.64,"[148.1999969482422, 8.715258598327637, 508.1844177246094, 357.744873046875]",
dataset\train\images\heroin_9_jpg.rf.8103b1fe716a5d6456cf4d7dd43ea001.jpg,Heroin,0.62,"[1.809960961341858, 65.8448715209961, 302.85296630859375, 509.2967834472656]",
dataset\train\images\heroin_9_jpg.rf.8103b1fe716a5d6456cf4d7dd43ea001.jpg,Heroin,0.53,"[215.490478515625, 208.45468139648438, 507.84014892578125, 512.0]",
dataset\train\images\heroin_9_jpg.rf.9735a2f1bb75b1c012b88c0def132abd.jpg,Heroin,0.76,"[205.5371551513672, 0.0, 510.35894775390625, 316.73468017578125]",
dataset\train\images\heroin_9_jpg.rf.9735a2f1bb75b1c012b88c0def132abd.jpg,Heroin,0.73,"[208.9569854736328, 205.72616577148438, 511.85040283203125, 509.994384765625]",
dataset\train\images\heroin_9_jpg.rf.9735a2f1bb75b1c012b88c0def132abd.jpg,Heroin,0.68,"[14.8323974609375, 131.0039520263672, 348.63934326171875, 500.8677673339844]",
dataset\train\images\heroin_9_jpg.rf.9735a2f1bb75b1c012b88c0def132abd.jpg,Heroin,0.63,"[10.449023246765137, 0.0, 263.8890075683594, 233.27572631835938]",
dataset\train\images\heroin_9_jpg.rf.ba85d5b3ebad98eaf07ac8eda548a7bb.jpg,Heroin,0.75,"[143.61001586914062, 171.96437072753906, 492.8037109375, 512.0]",
dataset\train\images\heroin_9_jpg.rf.ba85d5b3ebad98eaf07ac8eda548a7bb.jpg,Heroin,0.74,"[0.49165040254592896, 222.1330108642578, 272.0731506347656, 511.41595458984375]",
dataset\train\images\heroin_9_jpg.rf.ba85d5b3ebad98eaf07ac8eda548a7bb.jpg,Heroin,0.71,"[2.492993116378784, 7.323388576507568, 326.6774597167969, 285.8833923339844]",
dataset\train\images\heroin_9_jpg.rf.ba85d5b3ebad98eaf07ac8eda548a7bb.jpg,Heroin,0.37,"[278.53521728515625, 16.008129119873047, 505.5199279785156, 294.3358459472656]",
dataset\train\images\heroin_9_jpg.rf.bcc6f9e799186b526b4eb8aac3bbd3a9.jpg,Heroin,0.74,"[10.803149223327637, 222.09091186523438, 378.18316650390625, 509.6224670410156]",
dataset\train\images\heroin_9_jpg.rf.bcc6f9e799186b526b4eb8aac3bbd3a9.jpg,Heroin,0.69,"[180.99679565429688, 70.42919921875, 512.0, 463.0299377441406]",
dataset\train\images\heroin_9_jpg.rf.bcc6f9e799186b526b4eb8aac3bbd3a9.jpg,Heroin,0.64,"[1.953515648841858, 0.0, 307.2890319824219, 342.61859130859375]",
dataset\train\images\heroin_9_jpg.rf.bcc6f9e799186b526b4eb8aac3bbd3a9.jpg,Heroin,0.59,"[213.51235961914062, 0.0, 491.33892822265625, 150.84423828125]",
dataset\train\images\heroin_9_jpg.rf.bcc6f9e799186b526b4eb8aac3bbd3a9.jpg,Heroin,0.35,"[216.013916015625, 0.0, 499.967529296875, 214.2151641845703]",
dataset\train\images\Ketamine_10_jpg.rf.8fa055e230ad5de75a1bb8c04a726672.jpg,Ketamine,0.72,"[0.257363885641098, 81.9384994506836, 40.602325439453125, 252.5610809326172]",
dataset\train\images\Ketamine_10_jpg.rf.8fa055e230ad5de75a1bb8c04a726672.jpg,Ketamine,0.25,"[65.80642700195312, 4.969592094421387, 225.14553833007812, 202.55230712890625]",
dataset\train\images\Ketamine_11_jpg.rf.6e732e60d85fa85a566d510a85f4ddb1.jpg,Ketamine,0.95,"[0.9837402105331421, 82.12142181396484, 220.549072265625, 333.6658630371094]",
dataset\train\images\Ketamine_11_jpg.rf.6e732e60d85fa85a566d510a85f4ddb1.jpg,Ketamine,0.62,"[7.403832912445068, 0.756176769733429, 257.1331787109375, 146.86460876464844]",
dataset\train\images\Ketamine_11_jpg.rf.6e732e60d85fa85a566d510a85f4ddb1.jpg,Ketamine,0.61,"[229.890625, 0.0, 355.11883544921875, 185.94754028320312]",
dataset\train\images\Ketamine_11_jpg.rf.6e732e60d85fa85a566d510a85f4ddb1.jpg,Ketamine,0.41,"[11.039794921875, 0.619519054889679, 354.0126953125, 167.6482391357422]",
dataset\train\images\Ketamine_11_jpg.rf.6e732e60d85fa85a566d510a85f4ddb1.jpg,Ketamine,0.41,"[176.12428283691406, 0.2745361328125, 349.6639099121094, 186.4433135986328]",
dataset\train\images\Ketamine_12_jpg.rf.dbf6bc702b1890ebba5b71dd3f53d8ae.jpg,Ketamine,0.96,"[0.889086902141571, 80.6779556274414, 210.64511108398438, 334.0905456542969]",
dataset\train\images\Ketamine_12_jpg.rf.dbf6bc702b1890ebba5b71dd3f53d8ae.jpg,Ketamine,0.62,"[16.793872833251953, 0.0, 285.08050537109375, 145.36439514160156]",
dataset\train\images\Ketamine_12_jpg.rf.dbf6bc702b1890ebba5b71dd3f53d8ae.jpg,Ketamine,0.62,"[229.6650390625, 0.0, 355.4496154785156, 185.53836059570312]",
dataset\train\images\Ketamine_12_jpg.rf.dbf6bc702b1890ebba5b71dd3f53d8ae.jpg,Ketamine,0.45,"[11.8375244140625, 0.49359130859375, 355.5908508300781, 166.1375732421875]",
dataset\train\images\Ketamine_12_jpg.rf.dbf6bc702b1890ebba5b71dd3f53d8ae.jpg,Ketamine,0.38,"[178.85670471191406, 0.5216308832168579, 350.3738708496094, 185.91201782226562]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.87,"[162.4298553466797, 190.93890380859375, 255.75564575195312, 310.0330505371094]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.86,"[246.46923828125, 46.862449645996094, 299.97802734375, 173.8105926513672]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.80,"[400.6920471191406, 415.13116455078125, 452.5099182128906, 512.0]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.76,"[216.99337768554688, 388.2580261230469, 273.5602722167969, 505.49725341796875]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.73,"[27.153427124023438, 52.492332458496094, 80.65769958496094, 213.5019073486328]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.69,"[129.0393829345703, 26.727685928344727, 237.1357421875, 287.53692626953125]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.67,"[357.8619689941406, 0.909375011920929, 432.3661193847656, 150.07162475585938]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.65,"[324.37506103515625, 450.52001953125, 378.49481201171875, 512.0]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.65,"[181.6567840576172, 0.0, 278.54132080078125, 92.80276489257812]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.65,"[186.1676788330078, 316.36126708984375, 243.8854522705078, 413.2953186035156]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.62,"[290.51116943359375, 0.04103393480181694, 385.0804138183594, 63.72700119018555]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.60,"[276.56787109375, 427.2334899902344, 336.46697998046875, 512.0]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.56,"[39.9287109375, 304.4217224121094, 117.20130920410156, 481.95367431640625]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.54,"[40.5147590637207, 300.092529296875, 141.162841796875, 503.40838623046875]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.54,"[58.47314453125, 159.51214599609375, 128.1815948486328, 319.33258056640625]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.48,"[70.1885986328125, 0.0, 119.42044830322266, 90.49281311035156]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.39,"[319.78009033203125, 282.3106384277344, 382.198486328125, 427.73162841796875]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.38,"[325.32086181640625, 0.0, 432.52301025390625, 156.9088897705078]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.36,"[291.1227111816406, 158.77236938476562, 376.4317932128906, 309.98046875]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.33,"[68.99894714355469, 1.2086060047149658, 157.22903442382812, 157.00244140625]",
dataset\train\images\Ketamine_13_jpg.rf.01920b8ef8829c933263675a1098ad46.jpg,Ketamine,0.28,"[290.7320861816406, 0.0, 365.4820861816406, 128.40443420410156]",
dataset\train\images\Ketamine_13_jpg.rf.208b40a8fdb6b48aedbb1ee07b86d06c.jpg,Ketamine,0.90,"[88.08454895019531, 263.73577880859375, 190.4029083251953, 352.3670349121094]",
dataset\train\images\Ketamine_13_jpg.rf.208b40a8fdb6b48aedbb1ee07b86d06c.jpg,Ketamine,0.83,"[207.961181640625, 253.73403930664062, 341.21722412109375, 373.60113525390625]",
dataset\train\images\Ketamine_13_jpg.rf.208b40a8fdb6b48aedbb1ee07b86d06c.jpg,Ketamine,0.76,"[389.7706604003906, 61.15998458862305, 508.09381103515625, 158.4660186767578]",
dataset\train\images\Ketamine_13_jpg.rf.208b40a8fdb6b48aedbb1ee07b86d06c.jpg,Ketamine,0.76,"[34.968650817871094, 110.35957336425781, 232.0377960205078, 197.460693359375]",
dataset\train\images\Ketamine_13_jpg.rf.208b40a8fdb6b48aedbb1ee07b86d06c.jpg,Ketamine,0.75,"[357.4610290527344, 213.7636260986328, 500.08319091796875, 291.94781494140625]",
dataset\train\images\Ketamine_13_jpg.rf.208b40a8fdb6b48aedbb1ee07b86d06c.jpg,Ketamine,0.64,"[2.3542418479919434, 26.244226455688477, 69.72984313964844, 116.05027770996094]",
dataset\train\images\Ketamine_13_jpg.rf.208b40a8fdb6b48aedbb1ee07b86d06c.jpg,Ketamine,0.64,"[4.397119045257568, 145.8369903564453, 58.7602424621582, 233.6599578857422]",
